"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"787","-61","-61","-61"
"788","-63","-63","-63"
"789","-64","-64","-64"
"790","-62","-62","-62"
"791","-62","-62","-62"
"792","-62","-62","-62"
"793","-62","-62","-62"
"794","-62","-62","-62"
"795","-61","-61","-61"
"796","-62","-62","-62"
"797","-61","-61","-61"
"798","-64","-64","-64"
"799","-62","-62","-62"
"800","-62","-62","-62"
"801","-64","-64","-64"
"802","-62","-62","-62"
"803","-67","-67","-67"
"804","-64","-64","-64"
"805","-70","-70","-70"
"806","-64","-64","-64"
"807","-62","-62","-62"
"808","-65","-65","-65"
"809","-62","-62","-62"
"810","-64","-64","-64"
"811","-65","-65","-65"
"812","-62","-62","-62"
"813","-62","-62","-62"
"814","-63","-63","-63"
"815","-63","-63","-63"
"816","-64","-64","-64"
"817","-62","-62","-62"
"818","-62","-62","-62"
"819","-61","-61","-61"
"820","-64","-64","-64"
"821","-63","-63","-63"
"822","-60","-60","-60"
"823","-62","-62","-62"
"824","-63","-63","-63"
"825","-63","-63","-63"
"826","-62","-62","-62"
"827","-62","-62","-62"
"828","-61","-61","-61"
"829","-63","-63","-63"
"830","-61","-61","-61"
"831","-63","-63","-63"
"832","-63","-63","-63"
"833","-64","-64","-64"
"834","-63","-63","-63"
"835","-61","-61","-61"
"836","-64","-64","-64"
"837","-64","-64","-64"
"838","-61","-61","-61"
"839","-62","-62","-62"
"840","-61","-61","-61"
"841","-62","-62","-62"
"842","-65","-65","-65"
"843","-63","-63","-63"
"844","-63","-63","-63"
"845","-62","-62","-62"
"846","-62","-62","-62"
"847","-63","-63","-63"
"848","-63","-63","-63"
"849","-64","-64","-64"
"850","-63","-63","-63"
"851","-65","-65","-65"
"852","-64","-64","-64"
"853","-62","-62","-62"
"854","-63","-63","-63"
"855","-63","-63","-63"
"856","-61","-61","-61"
"857","-62","-62","-62"
"858","-61","-61","-61"
"859","-62","-62","-62"
"860","-64","-64","-64"
"861","-62","-62","-62"
"862","-65","-65","-65"
"863","-63","-63","-63"
"864","-63","-63","-63"
"865","-61","-61","-61"
"866","-64","-64","-64"
"867","-62","-62","-62"
"868","-61","-61","-61"
"869","-62","-62","-62"
"870","-63","-63","-63"
"871","-63","-63","-63"
"872","-64","-64","-64"
"873","-65","-65","-65"
"874","-64","-64","-64"
"875","-61","-61","-61"
"876","-64","-64","-64"
"877","-63","-63","-63"
"878","-63","-63","-63"
"879","-63","-63","-63"
"880","-63","-63","-63"
"881","-61","-61","-61"
"882","-64","-64","-64"
"883","-62","-62","-62"
"884","-63","-63","-63"
"885","-64","-64","-64"
"886","-69","-69","-69"
"887","-66","-66","-66"
"888","-62","-62","-62"
"889","-63","-63","-63"
"890","-68","-68","-68"
"891","-64","-64","-64"
"892","-63","-63","-63"
"893","-66","-66","-66"
"894","-66","-66","-66"
"895","-61","-61","-61"
"896","-62","-62","-62"
"897","-64","-64","-64"
"898","-63","-63","-63"
"899","-63","-63","-63"
"900","-63","-63","-63"
"901","-63","-63","-63"
"902","-60","-60","-60"
"903","-64","-64","-64"
"904","-62","-62","-62"
"905","-63","-63","-63"
"906","-64","-64","-64"
"907","-62","-62","-62"
"908","-62","-62","-62"
"909","-64","-64","-64"
"910","-63","-63","-63"
"911","-63","-63","-63"
"912","-62","-62","-62"
"913","-62","-62","-62"
"914","-64","-64","-64"
"915","-64","-64","-64"
"916","-70","-70","-70"
"917","-63","-63","-63"
"918","-64","-64","-64"
"919","-61","-61","-61"
"920","-64","-64","-64"
"921","-62","-62","-62"
"922","-62","-62","-62"
"923","-64","-64","-64"
"924","-65","-65","-65"
"925","-60","-60","-60"
"926","-59","-59","-59"
"927","-64","-64","-64"
"928","-63","-63","-63"
"929","-63","-63","-63"
"930","-63","-63","-63"
"931","-65","-65","-65"
"932","-69","-69","-69"
