"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"700","-74","-74","-74"
"701","-71","-71","-71"
"702","-71","-71","-71"
"703","-70","-70","-70"
"704","-69","-69","-69"
"705","-63","-63","-63"
"706","-69","-69","-69"
"707","-68","-68","-68"
"708","-60","-60","-60"
"709","-63","-63","-63"
"710","-63","-63","-63"
"711","-62","-62","-62"
"712","-62","-62","-62"
"713","-62","-62","-62"
"714","-62","-62","-62"
"715","-62","-62","-62"
"716","-58","-58","-58"
"717","-63","-63","-63"
"718","-61","-61","-61"
"719","-63","-63","-63"
"720","-64","-64","-64"
"721","-61","-61","-61"
"722","-63","-63","-63"
"723","-64","-64","-64"
"724","-63","-63","-63"
"725","-62","-62","-62"
"726","-62","-62","-62"
"727","-64","-64","-64"
"728","-63","-63","-63"
"729","-61","-61","-61"
"730","-63","-63","-63"
"731","-61","-61","-61"
"732","-62","-62","-62"
"733","-64","-64","-64"
"734","-62","-62","-62"
"735","-61","-61","-61"
"736","-62","-62","-62"
"737","-62","-62","-62"
"738","-64","-64","-64"
"739","-62","-62","-62"
"740","-62","-62","-62"
"741","-62","-62","-62"
"742","-62","-62","-62"
"743","-64","-64","-64"
"744","-62","-62","-62"
"745","-64","-64","-64"
"746","-62","-62","-62"
"747","-61","-61","-61"
"748","-62","-62","-62"
"749","-60","-60","-60"
"750","-68","-68","-68"
"751","-58","-58","-58"
"752","-65","-65","-65"
"753","-60","-60","-60"
"754","-60","-60","-60"
"755","-61","-61","-61"
"756","-58","-58","-58"
"757","-63","-63","-63"
"758","-60","-60","-60"
"759","-64","-64","-64"
"760","-62","-62","-62"
"761","-61","-61","-61"
"762","-61","-61","-61"
"763","-64","-64","-64"
"764","-61","-61","-61"
"765","-60","-60","-60"
"766","-63","-63","-63"
"767","-68","-68","-68"
"768","-62","-62","-62"
"769","-64","-64","-64"
"770","-63","-63","-63"
"771","-61","-61","-61"
"772","-61","-61","-61"
"773","-61","-61","-61"
"774","-62","-62","-62"
"775","-61","-61","-61"
"776","-61","-61","-61"
"777","-62","-62","-62"
"778","-62","-62","-62"
"779","-60","-60","-60"
"780","-61","-61","-61"
"781","-62","-62","-62"
"782","-68","-68","-68"
"783","-64","-64","-64"
"784","-61","-61","-61"
"785","-61","-61","-61"
"786","-60","-60","-60"
"787","-62","-62","-62"
"788","-59","-59","-59"
